ofi_00,ofi_01,ofi_02,ofi_03,ofi_04,ofi_05,ofi_06,ofi_07,ofi_08,ofi_09,integrated_ofi
0,0,-200,0,0,0,0,0,0,0,-28.256849053406004
0,-200,200,0,0,0,0,0,0,0,12.50764007020456
0,0,200,0,0,0,0,0,0,0,28.256849053406004
-100,-201,-208,-150,-25,-30,-200,-44,-154,-400,-142.7182147321765
201,208,150,25,30,200,44,154,400,1,125.20254726015445
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,-200,0,0,0,0,0,0,0,0,-15.749208983201443
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,0,0,-200,-25,-30,-200,-44,-154,-400,-102.88170555873442
0,0,-200,25,30,200,44,154,400,1,53.59657108832866
-100,-201,-8,-350,-25,-30,-200,-44,-154,-400,-147.47278142996095
201,8,350,25,30,200,44,154,400,1,137.71018733035902
1,27,10,400,15,110,10,110,100,55,107.3982453107834
0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,0.0
0,-10,-400,-15,-110,-10,-110,-100,-55,-1,-99.35608762834222
0,29,10,400,15,110,10,110,100,55,107.52699454993962
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,0,-200,0,0,0,0,0,0,-33.011415751190434
0,0,0,-200,0,0,0,0,0,0,-33.011415751190434
0,0,0,400,0,0,0,0,0,0,66.02283150238087
0,0,0,-200,-25,-30,-200,-44,-154,-400,-102.88170555873442
0,0,-200,25,30,200,44,154,400,1,53.59657108832866
0,0,0,0,0,0,0,0,0,0,0.0
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,0,-200,0,0,0,0,0,0,-33.011415751190434
0,0,-200,200,0,0,0,0,0,0,4.75456669778443
0,0,0,0,0,0,0,0,0,0,0.0
-20,-201,-8,-350,-25,-30,-200,-44,-154,-400,-145.17335337589694
0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,0,0,0,0.0
0,-10,-400,-15,-110,-10,-110,-100,-55,-1,-99.35608762834222
0,0,0,27,15,110,10,110,100,55,42.264226418734935
0,0,-200,200,0,0,0,0,0,0,4.75456669778443
0,0,0,0,0,0,0,0,0,0,0.0
-10,-400,-27,-15,-110,-10,-110,-100,-55,-1,-77.65545016774085
-23,-20,-201,-208,-150,-25,-30,-200,-44,-154,-123.87863993378788
0,-27,-15,-110,-10,-110,-100,-55,-1,-50,-54.16963201882379
0,200,27,15,110,10,110,100,55,1,61.6188126777814
20,201,208,150,25,30,200,44,154,400,140.41878667811253
0,-27,-15,-110,-10,-110,-100,-55,-1,-50,-54.16963201882379
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,0,-200,0,0,0,0,0,0,-33.011415751190434
0,400,27,15,110,10,110,100,55,1,77.36802166098285
200,10,0,0,0,0,0,0,0,0,6.536030584320044
200,0,0,0,0,0,0,0,0,0,5.748570135159972
-200,0,0,0,0,0,0,0,0,0,-5.748570135159972
-10,-27,-15,-110,-10,-110,-100,-55,-1,-50,-54.45706052558178
0,0,0,0,0,0,0,0,0,0,0.0
0,400,27,15,110,10,110,100,55,1,77.36802166098285
200,10,0,0,0,0,0,0,0,0,6.536030584320044
0,0,-200,200,0,0,0,0,0,0,4.75456669778443
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,0,-200,0,0,0,0,0,0,-33.011415751190434
200,0,0,0,0,0,0,0,0,0,5.748570135159972
0,-500,-201,-8,-350,-25,-30,-200,-44,-154,-155.46747411895345
500,201,8,350,25,30,200,44,154,400,158.96992170028088
-200,0,0,0,0,0,0,0,0,0,-5.748570135159972
1,200,10,27,15,110,10,110,100,55,59.45502070528248
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,0,0,-15,-110,-10,-110,-100,-55,-1,-42.05492907237014
0,0,0,26,15,110,10,110,100,55,42.099169339978985
0,0,0,200,0,0,0,0,0,0,33.011415751190434
0,0,0,0,-200,-25,-30,-200,-44,-154,-65.77843627556723
0,-200,0,0,0,0,0,0,0,0,-15.749208983201443
0,400,0,0,0,0,0,0,0,0,31.498417966402886
0,-10,-26,-15,-110,-10,-110,-100,-55,-1,-46.515779898473
0,0,200,26,15,110,10,110,100,55,70.35601839338499
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,-26,-15,-110,-10,-110,-100,-55,-1,-45.72831944931293
0,0,200,26,15,110,10,110,100,55,70.35601839338499
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,-200,0,0,0,0,0,0,0,-28.256849053406004
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,0,0,25,30,200,44,154,400,69.870289807544
0,0,0,0,-200,0,0,0,0,0,-27.463233942215954
0,0,0,0,0,200,44,154,400,1,73.60750808150347
0,0,0,0,0,-28,-200,-44,-154,-400,-66.20320777362451
0,0,-200,0,0,0,0,0,0,0,-28.256849053406004
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,0,-15,-110,-10,-110,-100,-55,-1,-42.05492907237014
0,0,0,29,15,110,10,110,100,55,42.59434057624684
0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,-200,-25,-28,-200,-44,-154,-65.60124566273429
0,0,0,0,0,0,200,44,154,400,62.92471869762984
0,0,0,0,0,0,-29,-200,-44,-154,-35.299384637653844
0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,25,29,200,44,154,400,69.75320091197275
0,0,0,0,-200,0,0,0,0,0,-27.463233942215954
0,0,0,0,-200,-25,-29,-200,-44,-154,-65.68984096915077
0,0,-29,-15,-110,-10,-110,-100,-55,-1,-46.15217218511402
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,0,-200,25,29,200,44,154,400,36.741785160782314
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,0,0,0,-29,-29,-200,-44,-154,-38.69496260921976
0,0,0,0,0,0,200,44,154,400,62.92471869762984
0,0,-200,0,0,0,0,0,0,0,-28.256849053406004
0,0,200,29,15,110,10,110,100,55,70.85118962965284
0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,200,0,0,0,0,0,0,33.011415751190434
0,0,0,-200,0,0,0,0,0,0,-33.011415751190434
0,0,0,200,0,0,0,0,0,0,33.011415751190434
0,0,0,0,-200,-25,-29,-200,-44,-154,-65.68984096915077
0,0,0,0,25,29,200,44,154,400,69.75320091197275
0,0,0,0,0,0,0,0,0,0,0.0
65,0,0,0,0,0,0,0,0,0,1.868285293926991
0,0,0,0,0,-400,-29,-200,-44,-154,-82.1349428661492
0,0,0,0,0,0,0,-27,-200,-44,-21.75399790198658
0,0,0,0,0,0,27,200,44,154,35.1221940248209
0,0,0,0,0,27,200,44,154,400,66.08611887805328
0,0,0,0,0,-200,-27,-200,-44,-154,-58.539973139068564
0,0,0,0,0,27,200,44,154,400,66.08611887805328
0,0,0,0,0,-200,-27,-200,-44,-154,-58.539973139068564
0,0,200,0,0,0,0,0,0,0,28.256849053406004
0,0,0,0,0,-200,0,0,0,0,-23.417779114247676
0,0,0,0,0,-200,0,0,0,0,-23.417779114247676
0,200,10,0,0,0,0,0,0,0,17.162051435871742
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,0,0,0,0,200,0,0,0,0,23.417779114247676
0,0,0,0,0,27,200,44,154,400,66.08611887805328
0,0,0,0,0,-400,-27,-200,-44,-154,-81.95775225331624
0,0,0,-15,-110,-10,-110,-100,-55,-1,-42.05492907237014
0,0,0,26,15,110,10,110,100,55,42.099169339978985
0,0,0,0,0,-400,0,0,0,0,-46.83555822849535
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,0,0,0,0,0,0,0,0,0,0.0
40,0,0,0,0,0,0,0,0,0,1.1497140270319943
100,1,400,10,26,15,110,10,110,100,93.17181256587975
0,0,0,0,0,0,0,0,0,0,0.0
201,8,150,25,400,27,200,44,154,400,152.73893186660231
100,100,1,400,10,26,15,110,10,110,101.33598175600203
0,100,100,1,400,10,26,15,110,10,91.5249911848809
0,100,0,0,0,0,0,0,0,0,7.874604491600722
0,100,0,0,0,0,0,0,0,0,7.874604491600722
0,100,0,0,0,0,0,0,0,0,7.874604491600722
40,0,0,0,0,0,0,0,0,0,1.1497140270319943
0,0,0,0,27,200,44,154,400,1,77.31504466370262
0,0,40,100,1,400,10,26,15,110,81.4971882352155
0,-100,0,0,0,0,0,0,0,0,-7.874604491600722
-100,0,0,0,0,0,0,0,0,0,-2.874285067579986
0,0,0,0,0,0,0,0,0,0,0.0
0,-100,0,0,0,0,0,0,0,0,-7.874604491600722
0,-100,0,0,0,0,0,0,0,0,-7.874604491600722
0,0,0,-1,-400,-10,-26,-15,-110,-10,-69.52196216657717
0,-40,-1,-400,-10,-26,-15,-110,-10,-110,-93.73693399346159
0,0,0,0,-200,-27,-200,-44,-154,-400,-93.54935282026923
0,0,0,0,27,200,44,154,400,1,77.31504466370262
0,0,0,0,-200,-27,-200,-44,-154,-400,-93.54935282026923
0,0,0,0,-200,0,0,0,0,0,-27.463233942215954
0,-1,-400,-10,-26,-15,-110,-10,-110,-100,-90.29752749829977
-1,-400,-10,-26,-15,-110,-10,-110,-100,-55,-75.03917260972797
0,0,26,10,26,15,110,10,110,100,37.378473723514546
0,0,0,0,-15,-110,-10,-110,-100,-55,-37.80768529232423
0,-200,0,0,0,0,0,0,0,0,-15.749208983201443
0,200,0,0,0,0,0,0,0,0,15.749208983201443
100,1,200,26,10,15,110,10,110,100,65.35881805719171
0,0,0,0,0,0,0,0,0,0,0.0
1,0,0,0,0,0,0,0,0,0,0.02874285067579986
8,150,25,400,27,200,44,154,400,1,158.91183184056672
100,200,100,1,200,26,10,15,110,10,75.26654422832186
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,38,400,100,1,200,26,10,15,110,111.9042036763567
0,0,0,38,100,1,200,26,10,15,42.07896745954169
0,0,-100,0,0,0,0,0,0,0,-14.128424526703002
0,0,0,200,0,0,0,0,0,0,33.011415751190434
-38,-300,-38,-100,-1,-200,-26,-10,-15,-110,-82.48299898336612
0,0,0,27,200,44,154,400,1,600,130.17275859966583
0,-100,0,0,0,0,0,0,0,0,-7.874604491600722
0,-100,0,0,0,0,0,0,0,0,-7.874604491600722
0,0,0,-1,-200,-26,-10,-15,-110,-10,-42.514625650837424
0,-38,-1,-200,-26,-10,-15,-110,-10,-110,-60.8916625386766
0,0,0,-200,-27,-200,-44,-154,-400,-1,-110.32646041489305
0,0,0,-200,0,0,0,0,0,0,-33.011415751190434
0,0,0,200,0,0,0,0,0,0,33.011415751190434
0,0,0,27,200,44,154,400,1,600,130.17275859966583
0,0,0,-26,-10,-15,-110,-10,-110,-100,-34.14893789128972
0,0,0,400,26,10,15,110,10,110,90.76944433779173
0,-1,-400,-26,-10,-15,-110,-10,-110,-100,-90.74138204301774
0,0,0,-200,-27,-200,-44,-154,-400,-1,-110.32646041489305
-1,-400,-26,-10,-15,-110,-10,-110,-100,-55,-74.65880727390521
0,0,-10,-15,-110,-10,-110,-100,-55,-1,-43.46777152504045
0,0,30,10,15,110,10,110,100,55,43.69678343789465
0,0,0,-200,0,0,0,0,0,0,-33.011415751190434
0,-30,-10,-15,-110,-10,-110,-100,-55,-1,-45.830152872520664
0,0,400,10,15,110,10,110,100,55,95.97195418669575
0,0,0,-200,0,0,0,0,0,0,-33.011415751190434
0,0,0,27,200,44,154,400,1,600,130.17275859966583
0,0,0,-400,-27,-200,-44,-154,-400,-1,-143.3378761660835
0,400,-10,-15,-110,-10,-110,-100,-55,-1,-11.969353558637557
0,0,0,-200,0,0,0,0,0,0,-33.011415751190434
0,0,0,-200,0,0,0,0,0,0,-33.011415751190434
0,-30,0,0,0,0,0,0,0,0,-2.3623813474802167
0,0,27,0,0,0,0,0,0,0,3.8146746222098105
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,-200,0,0,0,0,0,0,0,0,-15.749208983201443
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,0,0,27,200,44,154,400,1,600,130.17275859966583
0,0,0,-200,-27,-200,-44,-154,-400,-1,-110.32646041489305
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,0,-27,0,0,0,0,0,0,0,-3.8146746222098105
0,0,27,10,15,110,10,110,100,55,43.27293070209356
0,-27,-10,-15,-110,-10,-110,-100,-55,-1,-45.59391473777264
0,200,27,10,15,110,10,110,100,55,59.022139685295
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,-27,-10,-15,-110,-10,-110,-100,-55,-1,-45.59391473777264
0,200,27,10,15,110,10,110,100,55,59.022139685295
0,0,0,-200,0,0,0,0,0,0,-33.011415751190434
0,0,0,-200,0,0,0,0,0,0,-33.011415751190434
0,0,0,200,0,0,0,0,0,0,33.011415751190434
0,0,0,27,200,44,154,400,1,600,130.17275859966583
0,0,0,-400,-27,-200,-44,-154,-400,-1,-143.3378761660835
0,0,0,-400,0,0,0,0,0,0,-66.02283150238087
0,0,0,-400,0,0,0,0,0,0,-66.02283150238087
0,0,0,0,-28,-27,-200,-44,-154,-400,-69.93097162996352
0,0,0,0,0,200,44,154,400,1,73.60750808150347
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,-200,0,0,0,0,0,0,0,0,-15.749208983201443
0,200,0,0,0,0,0,0,0,0,15.749208983201443
0,0,0,0,0,0,0,0,0,0,0.0
150,25,400,28,200,44,154,400,1,600,193.13159250950395
100,1,200,27,10,15,110,10,110,100,65.52387513594766
100,0,0,0,0,0,0,0,0,0,2.874285067579986
23,200,1,200,27,10,15,110,10,110,74.44692355032426
0,0,23,1,200,27,10,15,110,10,45.88125218755035
0,-100,0,0,0,0,0,0,0,0,-7.874604491600722
